year,gender,name,n
2019,female,BERNARDETA,727
2019,female,ŻANETTA,725
2019,female,BERTA,721
2019,female,ROXANA,720
2019,female,ALISA,714
2019,female,SVETLANA,714
2019,female,MARGARETA,700
2019,female,JÓZEFINA,694
2019,female,BENITA,686
2019,female,BIANCA,684
2019,female,LYUBOV,674
2019,female,KSENIIA,672
2019,female,HANA,671
2019,female,MARGARITA,671
2019,female,VALENTINA,659
2019,female,VIOLETA,655
2019,female,JESIKA,654
2019,female,DARYNA,649
2019,female,LILLY,649
2019,female,INA,647
2019,female,ELA,646
2019,female,INKA,645
2019,female,KAYA,639
2019,female,MARIE,636
2019,female,MONICA,636
2019,female,CAROLINA,627
2019,female,EUNIKA,622
2019,female,KASANDRA,621
2019,female,AUGUSTYNA,617
2019,female,DOBROCHNA,617
2019,female,KARIN,617
2019,female,ABIGAIL,616
2019,female,JESSIKA,609
2019,female,DOBRAWA,607
2019,female,DAGNA,606
2019,female,EUFEMIA,599
2019,female,ELLA,596
2019,female,WILHELMINA,593
2019,female,ORIANA,585
2019,female,LESŁAWA,580
2019,female,PETRONELA,574
2019,female,LIUDMILA,572
2019,female,VIKTORIYA,570
2019,female,SYLWESTRA,566
2019,female,JULITTA,561
2019,female,ARIANA,560
2019,female,ERNESTYNA,560
2019,female,KIRA,560
2019,female,MARYIA,556
2019,female,DARYA,551
2019,female,SVIATLANA,550
2019,female,"NATHALIE",549
2019,female,ANHELINA,546
2019,female,ZORIANA,546
2019,female,MARIETA,544
2019,female,NIKOLINA,536
2019,female,LUDOMIRA,534
2019,female,MELISA,534
2019,female,FATIMA,529
2019,female,MELISSA,529
2019,female,ROZWITA,529
2019,female,GIULIA,524
2019,female,JASMINA,520
2019,female,JASMIN,516
2019,female,MILANA,514
2019,female,LISA,511
2019,female,RADOSŁAWA,509
2019,female,DARIIA,501
2019,female,EKATERINA,501
2019,female,SELENA,499
2019,female,ELISABETH,496
2019,female,BOHDANA,493
2019,female,ZOE,491
2019,female,NIKOLETA,485
2019,female,BENIGNA,484
2019,female,SYLVIA,479
2019,female,ELISA,475
2019,female,MARGOT,473
2019,female,MIŁOSŁAWA,471
2019,female,IZOLDA,470
2019,female,YAROSLAVA,469
2019,female,FRYDERYKA,464
2019,female,SILVIA,464
2019,female,SAMANTHA,463
2019,female,INGRIDA,461
2019,female,EMA,460
2019,female,LINA,459
2019,female,NELLA,459
2019,female,MAIA,455
2019,female,MIRANDA,455
2019,female,CRISTINA,454
2019,female,CATHERINE,451
2019,female,ZENAIDA,448
2019,female,NELIA,446
2019,female,CYRYLA,444
2019,female,CLARA,441
2019,female,VIKTORYIA,441
2019,female,"NARCYZA",438
2019,female,DOBROMIŁA,436
2019,female,SCHOLASTYKA,436
2019,female,LARISA,431
2019,female,MELANIE,429
2019,female,OTOLIA,428
2019,female,"NATASHA",427
2019,female,LILIYA,426
2019,female,ELZA,425
2019,female,ADELINA,422
2019,female,KATHERINE,422
2019,female,ANIDA,418
2019,female,VIVIEN,418
2019,female,HERMINA,416
2019,female,NELL,416
2019,female,DANA,414
2019,female,LAILA,414
2019,female,WALTRAUDA,414
2019,female,DINA,407
2019,female,LETYCJA,406
2019,female,KATHARINA,404
2019,female,LEILA,404
2019,female,ISMENA,403
2019,female,KSYMENA,402
2019,female,AGNES,401
2019,female,ANDŻELINA,400
2019,female,SNIZHANA,398
2019,female,VLADYSLAVA,398
2019,female,ANZHELIKA,394
2019,female,KAREN,390
2019,female,RUTH,389
2019,female,SUSANNA,388
2019,female,ANICETA,386
2019,female,CHARLOTTE,386
2019,female,HALSZKA,385
2019,female,JESICA,385
2019,female,AURORA,384
2019,female,BETINA,384
2019,female,ADAMINA,378
2019,female,JACQUELINE,378
2019,female,LILI,378
2019,female,VERA,377
2019,female,IWETTA,376
2019,female,MARIAM,376
2019,female,MARTHA,375
2019,female,DELFINA,374
2019,female,ANGELICA,372
2019,female,ARIADNA,371
2019,female,BIBIANNA,371
2019,female,PRAKSEDA,371
2019,female,JELENA,369
2019,female,LUDWINA,367
2019,female,MODESTA,366
2019,female,ZOIA,365
2019,female,CHIARA,363
2019,female,WINCENTYNA,362
2019,female,YAEL,362
2019,female,ARINA,360
2019,female,IWETA,359
2019,female,NIKA,356
2019,female,CHRISTINE,353
2019,female,ILZA,353
2019,female,JULIANA,352
2019,female,LUCIA,351
2019,female,EVELINA,350
2019,female,HIERONIMA,349
2019,female,LAYLA,347
2019,female,LIZA,346
2019,female,ZLATA,346
2019,female,ALMA,345
2019,female,SZARLOTA,345
2019,female,DEBORA,344
