name,count,gender,area,age
Mohamed,4153,male,flanders,0-17
Werner,4153,male,flanders,18-64
Christian,4152,male,flanders,18-64
Sander,4145,male,flanders,18-64
Kobe,4145,male,flanders,0-17
Mathias,4135,male,flanders,18-64
Gino,4124,male,flanders,18-64
Justine,4124,female,wallonia,18-64
Andrée,4121,female,wallonia,65-inf
Fatima,4112,female,brussels,18-64
Willem,4110,male,flanders,18-64
Jeanne,4108,female,flanders,65-inf
Anne,4097,female,flanders,65-inf
Simon,4072,male,wallonia,18-64
Mohamed,4069,male,wallonia,18-64
Arne,4060,male,flanders,18-64
Viviane,4058,female,flanders,18-64
Denis,4054,male,wallonia,18-64
Lore,4045,female,flanders,0-17
Loïc,4040,male,wallonia,18-64
Lieven,4035,male,flanders,18-64
Karine,4032,female,flanders,18-64
Willy,4021,male,flanders,18-64
Danielle,4019,female,wallonia,65-inf
Jérémy,4018,male,wallonia,18-64
Julien,4011,male,flanders,65-inf
Nancy,4010,female,wallonia,18-64
Martine,4000,female,flanders,65-inf
Wesley,3991,male,flanders,18-64
Freddy,3989,male,flanders,18-64
Tom,3952,male,wallonia,0-17
Karel,3949,male,flanders,65-inf
Mathis,3945,male,flanders,0-17
Franciscus,3924,male,flanders,65-inf
Gabriel,3913,male,wallonia,0-17
Marie,3900,female,brussels,65-inf
Guy,3897,male,wallonia,18-64
Anne-Marie,3887,female,flanders,18-64
Björn,3879,male,flanders,18-64
Alexander,3872,male,flanders,0-17
Marleen,3859,female,flanders,65-inf
Julia,3854,female,flanders,65-inf
Saskia,3851,female,flanders,18-64
Amber,3848,female,flanders,0-17
Rik,3845,male,flanders,18-64
Katleen,3838,female,flanders,18-64
Clara,3830,female,wallonia,0-17
Valerie,3824,female,flanders,18-64
Chloé,3822,female,wallonia,0-17
Victor,3819,male,flanders,0-17
Jana,3806,female,flanders,18-64
Magdalena,3798,female,flanders,65-inf
Carina,3797,female,flanders,18-64
Thomas,3794,male,flanders,0-17
Robbe,3793,male,flanders,0-17
Fabian,3791,male,wallonia,18-64
Seppe,3778,male,flanders,0-17
Elisabeth,3768,female,flanders,18-64
Ali,3767,male,flanders,18-64
Camille,3767,female,wallonia,0-17
Lore,3759,female,flanders,18-64
Giuseppe,3758,male,wallonia,18-64
Bernard,3746,male,wallonia,65-inf
Gustaaf,3743,male,flanders,65-inf
Amandine,3737,female,wallonia,18-64
Greta,3714,female,flanders,65-inf
Dominique,3706,male,flanders,18-64
Patrick,3692,male,flanders,65-inf
Jules,3692,male,flanders,0-17
Camille,3690,female,wallonia,18-64
Raymond,3675,male,flanders,65-inf
Mohamed,3675,male,brussels,0-17
Kenneth,3673,male,flanders,18-64
Louise,3655,female,wallonia,0-17
Marine,3654,female,wallonia,18-64
Jean,3652,male,brussels,65-inf
Daan,3644,male,flanders,0-17
Laura,3640,female,flanders,0-17
Maurice,3635,male,flanders,65-inf
Nicole,3622,female,wallonia,18-64
